"03/03",197
"03/04",189
"03/05",349
"03/06",359
"03/07",157
"03/08",133
"03/09",1173
"03/10",2805
"03/11",4606
"03/12",2541
"03/13",2529
"03/14",974
"03/15",1034
"03/16",1984
"03/17",1684
"03/18",1390
"03/19",1499
"03/20",1789
"03/21",786
"03/22",646
"03/23",1464
"03/24",1282
"03/25",1231
"03/26",1599
"03/27",1543
"03/28",878
"03/29",869
"03/30",1384
"03/31",1406
"04/01",1406
"04/02",4422
"04/03",4110
"04/04",4751
"04/05",2716
"04/06",2941
"04/07",2861
"04/08",2415
"04/09",2479
"04/10",2128
"04/11",1016
"04/12",907
"04/13",1823
"04/14",1957
"04/15",2144
"04/16",1864
"04/17",1818
"04/18",772
"04/19",769
"04/20",1661
"04/21",1835
"04/22",1791
"04/23",1547
"04/24",1584
"04/25",624
"04/26",695
"04/27",1277
"04/28",1155
"04/29",1196
"04/30",1191
"05/01",738
"05/02",529
"05/03",571
"05/04",1171
"05/05",982
"05/06",934
"05/07",996
"05/08",1034
"05/09",455
"05/10",481
"05/11",923
"05/12",728
"05/13",816
"05/14",803
"05/15",754
"05/16",464
"05/17",440
"05/18",840
"05/19",744
"05/20",791
"05/21",806
"05/22",834
"05/23",373
"05/24",418
"05/25",801
"05/26",778
"05/27",907
"05/28",775
"05/29",731
"05/30",329
"05/31",352
"06/01",681
"06/02",521
"06/03",613
"06/04",516
"06/05",662
"06/06",291
"06/07",299
"06/08",631
"06/09",744
"06/10",624
"06/11",685
"06/12",733
"06/13",288
"06/14",294
"06/15",674
"06/16",425
"06/17",612
"06/18",717
"06/19",568
"06/20",227
"06/21",244
"06/22",650
"06/23",591
"06/24",583
"06/25",565
"06/26",517
"06/27",241
"06/28",287
"06/29",605
"06/30",550
"07/01",492
"07/02",419
"07/03",497
"07/04",198
"07/05",226
"07/06",507
"07/07",441
"07/08",490
"07/09",474
"07/10",463
"07/11",377
"07/12",336
"07/13",478
"07/14",497
"07/15",426
"07/16",407
"07/17",474
"07/18",213
"07/19",238
"07/20",481
"07/21",434
"07/22",418
"07/23",461
"07/24",431
"07/25",204
"07/26",211
"07/27",413
"07/28",419
"07/29",503
"07/30",495
"07/31",392
"08/01",160
"08/02",197
"08/03",455
"08/04",486
"08/05",498
"08/06",441
"08/07",431
"08/08",186
"08/09",177
"08/10",474
"08/11",424
"08/12",417
"08/13",456
"08/14",397
"08/15",144
"08/16",153
"08/17",470
"08/18",531
"08/19",493
"08/20",500
"08/21",451
"08/22",257
"08/23",219
