"03/04",440
"03/05",882
"03/06",901
"03/07",408
"03/08",508
"03/09",2359
"03/10",6105
"03/11",10619
"03/12",5823
"03/13",5712
"03/14",2333
"03/15",2457
"03/16",4647
"03/17",4207
"03/18",3387
"03/19",3657
"03/20",4366
"03/21",2028
"03/22",1882
"03/23",3847
"03/24",3178
"03/25",3212
"03/26",4008
"03/27",3695
"03/28",2022
"03/29",2197
"03/30",3458
"03/31",3520
"04/01",3644
"04/02",8911
"04/03",8218
"04/04",9957
"04/05",5559
"04/06",6377
"04/07",6169
"04/08",5478
"04/09",5775
"04/10",4931
"04/11",2340
"04/12",2239
"04/13",4430
"04/14",4371
"04/15",4911
"04/16",4418
"04/17",4574
"04/18",1904
"04/19",2011
"04/20",3775
"04/21",4253
"04/22",4086
"04/23",3523
"04/24",3727
"04/25",1451
"04/26",1663
"04/27",2641
"04/28",2282
"04/29",2634
"04/30",2869
"05/01",2013
"05/02",1317
"05/03",1336
"05/04",2124
"05/05",2018
"05/06",1906
"05/07",2121
"05/08",2393
"05/09",1097
"05/10",1003
"05/11",1832
"05/12",1461
"05/13",1710
"05/14",1721
"05/15",1538
"05/16",1138
"05/17",1093
"05/18",1751
"05/19",1447
"05/20",1494
"05/21",1654
"05/22",1823
"05/23",1013
"05/24",1111
"05/25",1902
"05/26",1634
"05/27",1980
"05/28",1565
"05/29",1534
"05/30",840
"05/31",892
"06/01",1430
"06/02",1007
"06/03",1271
"06/04",1065
"06/05",1484
"06/06",665
"06/07",781
"06/08",1249
"06/09",1507
"06/10",1229
"06/11",1504
"06/12",1691
"06/13",693
"06/14",684
"06/15",1280
"06/16",735
"06/17",1235
"06/18",1826
"06/19",1319
"06/20",589
"06/21",552
"06/22",1348
"06/23",1152
"06/24",1154
"06/25",1230
"06/26",1066
"06/27",593
"06/28",590
"06/29",1184
"06/30",1116
"07/01",1035
"07/02",1032
"07/03",1199
"07/04",495
"07/05",794
"07/06",2370
"07/07",2880
"07/08",4565
"07/09",4512
"07/10",904
"07/11",850
"07/12",788
"07/13",981
"07/14",980
"07/15",924
"07/16",822
"07/17",1162
"07/18",485
"07/19",596
"07/20",1041
"07/21",881
"07/22",878
"07/23",958
"07/24",1014
"07/25",547
"07/26",507
"07/27",815
"07/28",877
"07/29",1088
"07/30",1052
"07/31",806
"08/01",443
"08/02",583
"08/03",1003
"08/04",956
"08/05",993
"08/06",1010
"08/07",869
"08/08",505
"08/09",477
"08/10",1028
"08/11",1126
"08/12",1099
"08/13",961
"08/14",1028
"08/15",468
"08/16",473
"08/17",1257
"08/18",1508
"08/19",1259
"08/20",1312
"08/21",1059
"08/22",680
"08/23",569
